clrmamepro (
	name "MAME4ALL"
	description "MAME4ALL ROMs Datfile"
	category "Standard DatFile"
	version "2.3"
	author Franxis
	comment "MAME4ALL for GP2X/WIZ ROMs"
)

game (
	name 005
	description "005"
	rom ( name epr-1286.16 size 2048 crc fbe0d501 )
	rom ( name 5111.u20 size 2048 crc a888e175 )
	rom ( name 5110.u19 size 2048 crc 7d26111a )
	rom ( name 5109.u18 size 2048 crc 48a20617 )
	rom ( name 5108.u17 size 2048 crc d371cacd )
	rom ( name 5107.u16 size 2048 crc 95f8a2e6 )
	rom ( name 5106.u15 size 2048 crc c7cdfa9d )
	rom ( name 5105.u14 size 2048 crc 17807a05 )
	rom ( name 5104.u13 size 2048 crc 0140930e )
	rom ( name 5103.u12 size 2048 crc 7f80c5b0 )
	rom ( name 5102.u11 size 2048 crc 70826a15 )
	rom ( name 5101.u10 size 2048 crc 8a1cdae0 )
	rom ( name 5100.u9 size 2048 crc a79af131 )
	rom ( name 5099.u8 size 2048 crc 0ea24ba3 )
	rom ( name 5098.u7 size 2048 crc 5bcb9d63 )
	rom ( name 5097.u6 size 2048 crc 428edb54 )
	rom ( name 5096.u5 size 2048 crc 5545241e )
	rom ( name 5095.u4 size 2048 crc f887f575 )
	rom ( name 5094.u3 size 2048 crc 995773bb )
	rom ( name 5093.u2 size 2048 crc e1edc3df )
	rom ( name 5092.u1 size 2048 crc 29e10a81 )
	rom ( name 1346b.u25 size 2048 crc 8e68533e )
)

game (
	name 1941
	description "1941"
	rom ( name 41_09.rom size 65536 crc 0f9d8527 )
	rom ( name 41_18.rom size 131072 crc d1f15aeb )
	rom ( name 41_19.rom size 131072 crc 15aec3a6 )
	rom ( name 41_32.rom size 524288 crc 4e9648ca )
	rom ( name 41_gfx1.rom size 524288 crc ff77985a )
	rom ( name 41_gfx3.rom size 524288 crc 983be58f )
	rom ( name 41_gfx5.rom size 524288 crc 01d1cb11 )
	rom ( name 41_gfx7.rom size 524288 crc aeaa3509 )
	rom ( name 41e_30.rom size 131072 crc 9deb1e75 )
	rom ( name 41e_31.rom size 131072 crc df201112 )
	rom ( name 41e_35.rom size 131072 crc d63942b3 )
	rom ( name 41e_36.rom size 131072 crc 816a818f )
)

game (
	name 1941j
	description "1941j"
	rom ( name 4136.bin size 131072 crc 7fbd42ab )
	rom ( name 4137.bin size 131072 crc c6464b0b )
	rom ( name 4142.bin size 131072 crc c7781f89 )
	rom ( name 4143.bin size 131072 crc 440fc0b5 )
)

game (
	name 1942
	description "1942"
	rom ( name 03k_sb-8.bin size 256 crc f6fad943 )
	rom ( name 06d_sb-4.bin size 256 crc 4858968d )
	rom ( name 08e_sb-5.bin size 256 crc 93ab8153 )
	rom ( name 09e_sb-6.bin size 256 crc 8ab44f7d )
	rom ( name 1-c11.bin size 16384 crc bd87f06b )
	rom ( name 1-f2.bin size 8192 crc 6ebca191 )
	rom ( name 1-n3a.bin size 16384 crc 40201bab )
	rom ( name 1-n4.bin size 16384 crc a60ac644 )
	rom ( name 1-n5.bin size 16384 crc 835f7b24 )
	rom ( name 1-n6.bin size 8192 crc 821c6481 )
	rom ( name 1-n7.bin size 16384 crc 5df525e1 )
	rom ( name 10e_sb-7.bin size 256 crc f4ade9a4 )
	rom ( name 2-a1.bin size 8192 crc 3884d9eb )
	rom ( name 2-a2.bin size 8192 crc 999cf6e0 )
	rom ( name 2-a3.bin size 8192 crc 8edb273a )
	rom ( name 2-a4.bin size 8192 crc 3a2726c3 )
	rom ( name 2-a5.bin size 8192 crc 1bd3d8bb )
	rom ( name 2-a6.bin size 8192 crc 658f02c4 )
	rom ( name 2-l1.bin size 16384 crc 2528bec6 )
	rom ( name 2-l2.bin size 16384 crc f89287aa )
	rom ( name 2-n1.bin size 16384 crc 024418f8 )
	rom ( name 2-n2.bin size 16384 crc e2c7e489 )
	rom ( name f01_sb-0.bin size 256 crc 6047d91b )
)

game (
	name 1942a
	description "1942a"
	rom ( name 1-n3.bin size 16384 crc 612975f2 )
)

game (
	name 1942b
	description "1942b"
	rom ( name srb-03.n3 size 16384 crc d9dafcc3 )
	rom ( name srb-04.n4 size 16384 crc da0cf924 )
	rom ( name srb-05.n5 size 16384 crc d102911c )
	rom ( name srb-06.n6 size 8192 crc 466f8248 )
	rom ( name srb-07.n7 size 16384 crc 0d31038c )
)

game (
	name 1943
	description "1943"
	rom ( name 1943.01 size 32768 crc c686cc5c )
	rom ( name 1943.02 size 65536 crc d8880a41 )
	rom ( name 1943.03 size 65536 crc 3f0ee26c )
	rom ( name 1943.04 size 32768 crc 46cb9d3d )
	rom ( name 1943.05 size 32768 crc ee2bd2d7 )
	rom ( name 1943.06 size 32768 crc 97acc8af )
	rom ( name 1943.07 size 32768 crc d78f7197 )
	rom ( name 1943.08 size 32768 crc 1a626608 )
	rom ( name 1943.09 size 32768 crc 92408400 )
	rom ( name 1943.10 size 32768 crc 8438a44a )
	rom ( name 1943.11 size 32768 crc 6c69351d )
	rom ( name 1943.12 size 32768 crc 5e7efdb7 )
	rom ( name 1943.13 size 32768 crc 1143829a )
	rom ( name 1943.14 size 32768 crc 4d3c6401 )
	rom ( name 1943.15 size 32768 crc 6b1a0443 )
	rom ( name 1943.16 size 32768 crc 23c908c2 )
	rom ( name 1943.17 size 32768 crc 46bcdd07 )
	rom ( name 1943.18 size 32768 crc e6ae7ba0 )
	rom ( name 1943.19 size 32768 crc 868ababc )
	rom ( name 1943.20 size 32768 crc 0917e5d4 )
	rom ( name 1943.21 size 32768 crc 9bfb0d89 )
	rom ( name 1943.22 size 32768 crc 04f3c274 )
	rom ( name 1943.23 size 32768 crc a52aecbd )
	rom ( name 1943.24 size 32768 crc 11134036 )
	rom ( name 1943.25 size 32768 crc 092cf9c1 )
	rom ( name bmprom.01 size 256 crc 74421f18 )
	rom ( name bmprom.02 size 256 crc ac27541f )
	rom ( name bmprom.03 size 256 crc 251fb6ff )
	rom ( name bmprom.04 size 256 crc 91a8a2e1 )
	rom ( name bmprom.05 size 256 crc 206713d0 )
	rom ( name bmprom.06 size 256 crc 0eaf5158 )
	rom ( name bmprom.07 size 256 crc b56f30c3 )
	rom ( name bmprom.08 size 256 crc c2010a9e )
	rom ( name bmprom.09 size 256 crc aeea4af7 )
	rom ( name bmprom.10 size 256 crc 33c2491c )
	rom ( name bmprom.11 size 256 crc 405aae37 )
	rom ( name bmprom.12 size 256 crc c18aa136 )
)

game (
	name 1943j
	description "1943j"
	rom ( name 1943jap.001 size 32768 crc f6935937 )
	rom ( name 1943jap.002 size 65536 crc af971575 )
	rom ( name 1943jap.003 size 65536 crc 300ec713 )
)

game (
	name 1943kai
	description "1943kai"
	rom ( name 1943kai.15 size 32768 crc 6b1a0443 )
	rom ( name 1943kai.19 size 32768 crc 868ababc )
	rom ( name bmprom.04 size 256 crc 91a8a2e1 )
	rom ( name bmprom.06 size 256 crc 0eaf5158 )
	rom ( name 1943kai.01 size 32768 crc 7d2211db )
	rom ( name 1943kai.02 size 65536 crc 2ebbc8c5 )
